,rating,uncertainty
Jinkx Monsoon,35.026821180025316,1.1231309956155766
Shea Couleé,33.31275515857047,1.1019509084185373
Sasha Velour,33.19469871124353,1.0382682176838813
Nina Flowers,33.09661484855495,1.2199538112707262
Alaska,32.56031006485193,1.031957729363443
Sharon Needles,32.53998337343948,1.0676473696763644
Chad Michaels,32.50982713489935,1.1196074943996541
Bob the Drag Queen,32.028484702643,1.176286105861977
Roxxxy Andrews,32.00111852078777,1.014195386122325
Raja,31.866487127644092,0.9649901382005422
Manila Luzon,31.75304039287074,0.9562555889607286
Bebe Zahara Benet,31.54853141728413,1.1379923518704715
Tyra Sanchez,31.46620402076248,1.0088274129886845
Ginger Minj,31.37181883179589,1.0231629434560674
Bianca Del Rio,31.29072163379527,1.0666470444180636
Phi Phi O'Hara,30.987939578368582,1.0219875942825811
Violet Chachki,30.75184551405168,0.969321060218681
Trinity Taylor,30.70071105186569,0.996609684583367
Peppermint,30.432258152740772,0.9637631304754983
Yara Sofia,30.35076558856884,0.9298270633038062
Aquaria,30.20568133085759,1.007031542295624
Naomi Smalls,30.17522967388816,1.1227801199443492
Kim Chi,30.151505632326103,1.0966805866825213
Alexis Mateo,30.057497881177603,0.9438847404738386
Kennedy Davenport,29.579034338886473,0.967917190947232
Latrice Royale,29.436057322735078,1.0233980780280039
Pearl,29.379584037260628,0.9540933065048551
Katya,29.172980949622954,0.9601090956162796
Raven,29.155220377703092,0.9258822919131682
Valentina,29.10646519141137,1.0031777546455642
Detox,28.921460587934178,0.9918946263403398
Alexis Michelle,28.89381890604131,1.0143351110066061
Courtney Act,28.81313536599863,1.0018592137978262
Kameron Michaels,28.235701549384107,0.9667070507687364
Rebecca Glasscock,27.982059705691594,1.0847779609633352
Adore Delano,27.977142537867756,0.9512152766542471
Eureka,27.837410039811274,0.9062150951925839
Pandora Boxx,27.63573993964821,0.9128620576775243
Ivy Winters,27.624009753443225,0.9993076400307966
Asia O'Hara,27.550768868846273,0.9555041538083169
Jujubee,27.489190465436437,0.9245036324996931
Miz Cracker,27.331441328425793,0.9755379895203923
Ongina,26.949446667282523,1.2260066527618947
Coco Montrese,26.765913523427916,0.9870300474357091
Chi Chi DeVayne,26.651178792039737,1.0880455462460086
Thorgy Thor,26.26420044057414,1.1422125366653368
BenDeLaCreme,26.222766743762847,0.9429044702272915
Shangela,26.145087340257167,0.8853372340453519
Alyssa Edwards,26.10087931491058,1.016302670618367
Shannel,26.03506021477769,1.135736065478737
Nina Bo'nina Brown,25.988474848626485,0.9966015484835504
Tatianna,25.93144146537167,0.9120266967306664
Monét X Change,25.928116272060848,0.9442524200264324
Derrick Barry,25.370790409163718,1.0857463040966864
Darienne Lake,25.33201244123507,0.9259614659557484
Jessica Wild,24.61377549711496,0.9284193769443028
DiDa Ritz,24.600952213393196,0.9846283296779385
Yvie Oddly,24.448894963767604,1.033359924883328
Brooke Lynn Hytes,24.221133762910444,0.9885217630120756
Max,24.038172658022454,1.0133658472268503
Carmen Carrera,23.70489225853161,0.9085203076787335
Miss Fame,23.59372238142693,0.9706111680769214
Joslyn Fox,23.413901125756233,0.9536872038020054
Trixie Mattel,23.38604254741648,0.9902339653634622
Jaidynn Diore Fierce,23.334055593830307,1.006386006563588
Willam,22.854562696103756,1.0049589291721903
Jiggly Caliente,22.68507151295309,1.066109680885051
Trinity K. Bonet,22.59301083068519,0.9474215481529171
Acid Betty,22.315695911197498,1.1923565118622574
Silky Nutmeg Ganache,22.290552705345004,0.9757944298164486
A'Keria Chanel Davenport,22.241715018947446,0.9664185882401564
Farrah Moan,22.174185597988895,1.0687228602238084
Lineysha Sparx,22.16568447755382,1.1218630992133498
Robbie Turner,21.928385953698204,1.1363986241838147
The Vixen,21.86017495335954,0.9878738757884895
Kenya Michaels,21.44555839023191,1.0626907774548064
Aja,21.369622352945107,1.1012988992502506
Jade Jolie,21.321029025604687,1.136815782353569
Stacy Layne Matthews,21.21826722744898,0.9231546196832733
Monique Heart,21.17517607883322,1.0054302765105338
Blair St. Clair,20.935331695228147,1.0443709373894048
Laganja Estranja,20.908406508879423,0.9658408474369757
Milan,20.87749519844954,1.110850554329492
Sahara Davenport,20.798354031013385,0.9534074298530962
Nina West,20.55252345095516,0.9378412489762671
Delta Work,20.5513185689908,0.9525920230437064
Mrs. Kasha Davis,20.197016652495485,1.092037496085435
Honey Mahogany,19.571923878184823,1.2044072549956253
Jade,19.32679280551432,1.3376303056019059
Milk,19.23684411915588,1.0275838266903146
Madame LaQueer,18.94688045595903,1.1629216759127554
Vanessa Vanjie Mateo,18.902062797266183,0.9180952885343426
Vivienne Pinay,18.503024636903543,1.2440308800925959
Plastique Tiara,18.497539464854064,0.9593328959813093
Mayhem Miller,17.986195736187643,1.1050053911671378
Morgan McMichaels,17.972255834267454,1.0414587131125215
Kandy Ho,17.969595943127565,1.1630508355512237
Cynthia Lee Fontaine,17.865281216381536,1.0735326314663025
Shuga Cain,17.77717882675372,0.9503891671847143
Mariah,17.469832674754006,1.0457022419254192
Gia Gunn,16.80961298946977,1.094155067017035
The Princess,15.770693622712502,1.2982799162114964
Mimi Imfurst,15.45831421152974,1.1319719585070882
Sonique,14.981969128112514,1.1808656183448292
Mystique Summers Madison,14.710344385412963,1.14290910520242
Dusty Ray Bottoms,14.67419675751444,1.3023009652630069
Lashauwn Beyond,14.65373496519395,1.3764384700434718
Yuhua Hamasaki,14.575930095845576,1.277411713579706
Charlie Hides,14.283670604674743,1.4667319296429995
India Ferrah,14.255865332758335,1.2149091505738547
April Carrión,13.803277026745205,1.2348317931173125
Naysha Lopez,13.784914534333788,1.613148981195992
Scarlet Envy,13.668320614685125,1.020678791000116
Akashia,13.267078811838523,1.6429403899241874
Jasmine Masters,12.943331429438292,1.5162743011793793
Magnolia Crawford,12.762350969370704,1.2970880680741608
Tammie Brown,12.429722868857864,1.6878536123176908
Vivacious,12.390901865372763,1.3342640181759913
Monica Beverly Hillz,11.940495788969434,1.759507451884475
Ariel Versace,11.401788875671231,1.0814318464580492
Kelly Mantle,11.200500988321492,1.4460850363895918
Ra'Jah O'Hara,11.075837114878725,1.0367636036666463
Dax ExclamationPoint,10.8273591353448,1.9373425083527553
Kimora Blac,10.499886885964216,1.7621945010583986
Nicole Paige Brooks,10.165181936283354,1.4827732410355436
Phoenix,9.44996863682391,1.5570224763123426
Sasha Belle,8.415059950171354,1.9597214654927204
Jaymes Mansfield,8.275360065992253,1.9788072143834239
Alisa Summers,8.01271291366518,2.399586964350028
Laila McQueen,7.996734230973529,2.2236642547587833
Honey Davenport,7.847891563671374,1.2723323925200682
Serena ChaCha,7.667618814194999,2.128655347094459
Mercedes Iman Diamond,7.602915930976066,1.1622024662505623
Kalorie Karbdashian Williams,7.546662697324825,2.015235418781177
Penny Tration,4.846241613527237,2.3695125536359836
"Victoria ""Porkchop"" Parker",4.81268862265069,2.4253361891653196
Tempest DuJour,4.059926571957377,2.4351519282700846
Shangela Laquifa Wadley,3.525980940656628,2.259576883566376
Venus D-Lite,3.4001920277350153,2.2149267131322756
Soju,2.3415737130319405,1.824273411679737
Kahanna Montrese,0.5507465611418557,1.7635696924093527
